epoch,global_step,lr,loss_total,loss_cd,loss_apml,loss_p2g,loss_g2p,loss_center,loss_bbox,loss_hd,loss_repulsion,loss_proj,loss_proj_bce,loss_proj_dice,loss_proj_iou,proj_weight,proj_valid_ratio,proj_pred_mask_mean,proj_gt_mask_mean,proj_pred_mask_max,proj_gt_mask_max,proj_u_min,proj_u_max,proj_v_min,proj_v_max,precision_0_01,recall_0_01,fscore_0_01,precision_0_02,recall_0_02,fscore_0_02,precision_0_05,recall_0_05,fscore_0_05,epoch_time_sec
151,2501,0.0005,0.0939245495747109,0.003440316493429507,93.9244187960192,0.001983755410673366,0.00145656108041131,0.0001761795766122989,0.0,0.0,2.5247381392032753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04407436244252299,0.04988063368402639,0.04646576035738748,0.22660164449845063,0.2680826107057177,0.24417986007618075,0.8005837703980908,0.8746704443222711,0.834095169071768,167.08416414260864
152,5002,0.0005,0.0937841116312574,0.00343447921581932,93.78397974306371,0.0019758072318794093,0.0014586719865349346,0.00017417278490538754,0.0,0.0,2.5481319817870526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04480932236480408,0.050595191610855655,0.04721446590880152,0.22814302013569573,0.2693058518779988,0.24562586625156904,0.8019792083166734,0.8751415449445222,0.835073469234247,166.43710923194885
153,7503,0.0005,0.0936877825638143,0.00342510074566229,93.68765111448097,0.0019755973654729526,0.001449503379613312,0.00017543720081585287,0.0,0.0,2.5416926510028097e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045074157836865254,0.050963208466613355,0.04750240576572296,0.22976766324720113,0.27098799152214115,0.2472897422332756,0.802252731719812,0.8753190130197921,0.8352688290223461,190.8704650402069
154,10004,0.0005,0.09368468434667168,0.003422482051795013,93.6845523082271,0.0019749644173115382,0.0014475176317953556,0.00017505288085013657,0.0,0.0,2.551132252510568e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044628925773440624,0.05042836381072571,0.0470354487363179,0.22835035907511994,0.2696552238479608,0.24590935112118292,0.8021140176741803,0.8755569061437924,0.8352819033047525,197.50867009162903
155,12505,0.0005,0.09334748864817362,0.00339269327375515,93.34735673449126,0.001954054410100357,0.0014386388614205125,0.00017607726039279848,0.0,0.0,2.5499636190944876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04523063821346462,0.051134038572071175,0.04767791839239777,0.23017131038209715,0.27154665477558976,0.24779283344709888,0.8044075338614555,0.8767852234106357,0.8371939140288938,201.1237452030182
156,15006,0.0005,0.09387942372572894,0.0033996519196254596,93.40977508837773,0.0019581538548095203,0.0014414980652697775,0.00017778848241534423,0.0,0.0,2.5586440107540827e-05,0.06707376693008614,0.07490397185930273,0.05924356121961616,0.11122827301593553,0.007000000216066837,1.0,0.3131647421920695,0.3145521028233213,1.0,1.0,10.174914586453474,52.825088015941084,8.105683543404691,55.194086193037435,0.04513067819747101,0.05100791714564174,0.04755550573860369,0.23028034879798082,0.2715872635320872,0.24783792302477173,0.8040098413759497,0.876447565505048,0.8368024816278552,209.05322790145874
157,17507,0.0005,0.09400538393094844,0.0033737148288305982,93.06920602425534,0.0019438535339565428,0.0014298612940245633,0.00017657256623425534,0.0,0.0,2.56271172100755e-05,0.06686037480652404,0.07455019795018189,0.05917055082054245,0.11109668659906491,0.014000000432133675,1.0,0.313059769022684,0.3145177629513771,1.0,1.0,10.204297235325688,52.79570523932761,8.078697386192161,55.18967240374358,0.045334014831567376,0.05127724300904638,0.047787883445197514,0.230728509377499,0.2720732019692123,0.24835944034811594,0.8054214837502499,0.877725081842263,0.8382066250419388,206.91208148002625
158,20008,0.0005,0.09457928913443243,0.0033805562171717136,93.17479911569308,0.0019444969952919567,0.0014360592216121086,0.0001766661696286096,0.0,0.0,2.556559203704975e-05,0.06687418265236182,0.07453957017733068,0.05920879424261789,0.1111585380362778,0.020999999716877937,1.0,0.31316936883579394,0.31451998213108706,1.0,1.0,10.167173697918903,52.832828765771524,8.06414086301057,55.18157507962391,0.04528959900414834,0.05116605701469412,0.04771218323422487,0.2307555493427629,0.27219414968387645,0.24840635591384316,0.8051521578868452,0.8775699681065074,0.8380021263913411,208.8711178302765
159,22509,0.0005,0.09474194683626097,0.0033588081230137607,92.87464667148278,0.001935921557547777,0.0014228865651226958,0.00017549855783836348,0.0,0.0,2.5542603863249925e-05,0.06668457535148763,0.07428909928166642,0.059080050473973925,0.11094694273894141,0.02800000086426735,1.0,0.3130651005789167,0.3145115791482241,1.0,1.0,10.19233009730373,52.80767241900847,8.134775891202967,55.21166705742019,0.045377064018142746,0.0513132637569972,0.04783348735888861,0.2313609712365054,0.27273387519992004,0.24900386420811046,0.8063681753860955,0.878926847229858,0.8392177807574557,208.31000018119812
160,25010,0.0005,0.09518832115770005,0.003352448869903316,92.85321761950738,0.0019321694153815606,0.001420279453823543,0.00017591410957021715,0.0,0.0,2.558348931925662e-05,0.06671346324246104,0.07431590491336067,0.05911102074711192,0.11099139674574506,0.03500000014901161,1.0,0.31319913739075617,0.31454941755781074,1.0,1.0,10.210229331614828,52.789773176117734,8.048862207417296,55.181621388309914,0.04545281496776289,0.05142357119652139,0.047923120589958866,0.23145692894717113,0.27309681596111557,0.24921863987559273,0.8068219001461915,0.8793489440161435,0.839679217062107,208.77004718780518
161,27511,0.0005,0.09543548399557929,0.003329979630898586,92.65638289056936,0.0019154540120075861,0.0014145256193797485,0.00017713209050942446,0.0,0.0,2.5619331143393356e-05,0.06616592015184816,0.07346350410696222,0.05886833522854591,0.11058481928349875,0.041999999433755875,1.0,0.31308308141570435,0.31453390185032687,1.0,1.0,10.040352417058537,52.95965011364839,8.150013352336526,55.205336261491496,0.04560197405412835,0.051511036210515795,0.04804138623078207,0.23208734084491203,0.2734928489541683,0.24974431051630253,0.8073076433489105,0.879498103102509,0.8400712213912805,206.35409712791443
162,30012,0.0005,0.09627786043976269,0.003355567719799834,93.01614305602222,0.001932512897793658,0.0014230548249153955,0.0001769988651763962,0.0,0.0,2.5532347092480414e-05,0.0665629663121481,0.07405830280365991,0.05906762901852961,0.11092372848147729,0.04899999871850014,1.0,0.3131748545931273,0.31448997356077996,1.0,1.0,10.208887817477379,52.791114674430524,8.068855186120743,55.22365490144274,0.04528715857407037,0.051129255329118356,0.04770873957106926,0.23095058851459416,0.2724339951519392,0.24859218452511572,0.8059030294132347,0.8787482077481508,0.8389055141564704,208.15811705589294
163,32513,0.0005,0.09658837456498943,0.003352812424864209,92.87390175002997,0.0019288949140046658,0.0014239175105220736,0.00017528210895927557,0.0,0.0,2.5679342603585143e-05,0.06632749790825494,0.07373136234600418,0.05892363253806601,0.11067463385491598,0.0560000017285347,1.0,0.3132247372609718,0.31453559361472694,1.0,1.0,10.155695095962164,52.844307449139485,8.085146098554445,55.19983729530649,0.04561446905612755,0.051554671100309875,0.048083742937130455,0.2318804899915034,0.27318262148265693,0.2494964787646419,0.8067494681814774,0.8791417026939224,0.8395224955977082,209.5936405658722
164,35014,0.0005,0.09672156682774954,0.0033254139574763345,92.57269150902872,0.0019166348944008515,0.001408779062994025,0.00017724223757572053,0.0,0.0,2.5614256340601668e-05,0.06585305854112136,0.07299254622842159,0.05871357004054305,0.11032382405695558,0.06300000101327896,1.0,0.31319138989215944,0.3145100592446775,1.0,1.0,10.175605399090975,52.82439711645859,8.082086212298528,55.205339435575866,0.045587624325269895,0.05156950891518393,0.048056335759865655,0.23235764288034785,0.2740050464189324,0.2501272203691932,0.8076454964889045,0.8801493074645141,0.8405719559605433,209.10125946998596
165,37515,0.0005,0.09688882840747406,0.0033011251556609228,92.28730514172504,0.0018994136802490574,0.0014017114715251487,0.0001761791034039511,0.0,0.0,2.564837323366957e-05,0.06573415380336198,0.07283346341704665,0.0586348432199996,0.11018175942475487,0.07000000029802322,1.0,0.3132428285665438,0.31450508252495246,1.0,1.0,10.167250659264646,52.83275192120418,8.119081504818727,55.18587428004872,0.04586905472186126,0.051857577281587366,0.04833594346154587,0.23334084335015995,0.2752302399352759,0.25119349384149375,0.8089905639306777,0.8810818446059077,0.8417216750656495,189.96274209022522
166,40016,0.0005,0.09711473948303245,0.003301544484650915,92.51781641469388,0.0018991991944910093,0.0014023452868783062,0.0001743318917109615,0.0,0.0,2.5487835752291542e-05,0.06566844609488205,0.07266823193136572,0.05866865945405743,0.11024965185587142,0.07000000029802322,1.0,0.3132120244255642,0.31449707753000045,1.0,1.0,10.216662725607236,52.7833397631548,8.069035328182874,55.18963411492093,0.045156058670281884,0.05102441445296881,0.047582118223454414,0.23158080517792884,0.2734156337465014,0.24940433093711215,0.8085022826806777,0.8802802121338964,0.8411455668482195,173.18995642662048
167,42517,0.0005,0.09686083178140553,0.0032937313806440985,92.28223942966758,0.0018914523376331593,0.0014022790445062778,0.00017599504524233,0.0,0.0,2.5613200260245978e-05,0.06540656950874407,0.0723102639061732,0.05850287431814536,0.10994808895975912,0.07000000029802322,1.0,0.3132605348221782,0.3145307029743807,1.0,1.0,10.097484515505474,52.90251798755595,8.080559051499181,55.22404935273205,0.04586934757347061,0.05176132671931227,0.04831404543750998,0.23341444672131148,0.2751850431702319,0.25121309487272003,0.8094024109106357,0.8814452734531187,0.842137647599804,174.05113077163696
168,45018,0.0005,0.09677079848733629,0.0032867120204596555,92.19606321137317,0.001888245384925969,0.0013984666378959725,0.0001771248916140764,0.0,0.0,2.5717209961608478e-05,0.06535146114338593,0.07223538622581831,0.05846753517468897,0.10990017254511769,0.07000000029802322,1.0,0.3132231334855155,0.314528115165205,1.0,1.0,10.182189524626551,52.81781297643296,8.077880952988373,55.212767308542894,0.045767825682227106,0.0517281368702519,0.04823103477926653,0.23300826153913434,0.2746123230395342,0.2507916732249213,0.8098818089951519,0.8816232296144042,0.8425195734294021,173.38926768302917
169,47519,0.0005,0.09650134073882426,0.0032656541584701578,91.93724061888916,0.0018742401648812915,0.0013914139963060776,0.0001768505802832259,0.0,0.0,2.577908895561989e-05,0.06519952593374996,0.07202393166953232,0.05837511937649714,0.10974413239922537,0.07000000029802322,1.0,0.3132474118413948,0.3145230714766467,1.0,1.0,10.25294486764239,52.74705772293134,8.064487726485334,55.24784594676534,0.046379885545781686,0.05239535045356857,0.048860599460755764,0.23528791608356658,0.27719136954593165,0.25319901562300695,0.8119147848673031,0.882652212552479,0.8441436944699964,187.40733885765076
170,50020,0.0005,0.09638367761157361,0.003256316470750859,91.83231552654817,0.0018698504030397658,0.0013864660686187696,0.00017722085164583397,0.0,0.0,2.5724396174623865e-05,0.06501756035765616,0.07171410773886365,0.05832101225328655,0.10963906201778627,0.07000000029802322,1.0,0.313161270710074,0.3144961358999453,1.0,1.0,10.185183231947851,52.81481930085632,8.124939399593023,55.21441104954503,0.04620368649415234,0.05212280322246102,0.04866502140859058,0.23477210678228708,0.27637733968912437,0.25254287356224026,0.8118419624337765,0.8831621648215714,0.8442839756339896,208.38408017158508
171,52521,0.0005,0.09634168242446568,0.003258622262785334,91.79379362146743,0.0018701371589501645,0.0013884851039689939,0.00017779978652608352,0.0,0.0,2.5767117453413703e-05,0.0649679365982322,0.07169859403403984,0.05823727830892942,0.10950365654233454,0.07000000029802322,1.0,0.31319570855074813,0.314511803252513,1.0,1.0,10.192759812045031,52.80724270197927,8.100225045365459,55.22055744962757,0.04608801010845662,0.05213168638794482,0.04858287157076018,0.23473335275264895,0.2765203488916933,0.25256878265389343,0.8117063721386445,0.8831617743527589,0.8441988350462313,209.9799301624298
172,55022,0.0005,0.09616221525951749,0.0032392681635613116,91.62856751677991,0.0018601013671570286,0.0013791667965846546,0.00017758110906678038,0.0,0.0,2.5705912108509112e-05,0.06476449943343099,0.07134325432999641,0.058185743718374164,0.10942033913935341,0.07000000029802322,1.0,0.31324015846435,0.31452163442021985,1.0,1.0,10.26345217814211,52.736550315481715,8.111925823123205,55.180428037830275,0.04634201007097161,0.052346834703618554,0.04883643696795865,0.23561141949470213,0.27753195596761293,0.2535293519881214,0.8124387940136445,0.8834394952956317,0.8447507950888782,209.88554787635803
173,57523,0.0005,0.09642120940489371,0.0032589201739926287,91.86883417714458,0.001868443041398912,0.0013904771293004805,0.00017698967056415985,0.0,0.0,2.5812890165386e-05,0.06503202554519202,0.07176045943550566,0.05830359065689978,0.10962271704668047,0.07000000029802322,1.0,0.3131417071685844,0.3145410324789819,1.0,1.0,10.174937301709718,52.82506514148491,8.07424512723597,55.17706578867477,0.04630979639394242,0.05235825591638345,0.048814940337808144,0.2349418630985106,0.27658360483931427,0.25275705566779466,0.8116468256447421,0.8826568005610256,0.84398859887064,210.3441035747528
174,60024,0.0005,0.09600482810912776,0.0032307044060186584,91.48350739507664,0.0018544370871720003,0.0013762673188524764,0.0001793817032476796,0.0,0.0,2.5812382157410805e-05,0.0645883900375187,0.07114033068849392,0.05803644850176842,0.10916711892284713,0.07000000029802322,1.0,0.3132780541698249,0.31452165035212915,1.0,1.0,10.09435633743634,52.905646155234194,8.070721368034665,55.21422816066445,0.04681623444372251,0.05283863017293083,0.04931452408710756,0.23712136239254297,0.27902901339464214,0.25504442161676744,0.8133976877998801,0.8842053022540983,0.845592508538634,208.11597108840942
175,62525,0.0005,0.09579946613553665,0.0032185512127402035,91.29569074469822,0.0018458915565286527,0.001372659659400055,0.0001787535970436852,0.0,0.0,2.5759819471918022e-05,0.06433774504076238,0.07071329626153823,0.0579621930543731,0.10902904208208837,0.07000000029802322,1.0,0.3131519095575223,0.31449991593011517,1.0,1.0,10.237913171466186,52.76208940709605,8.049938818684867,55.20944769980191,0.04676400924005398,0.052839313493352656,0.04927784490061314,0.23668813724510196,0.27861716641468415,0.25457483809180664,0.8145170642680428,0.8855614004398241,0.8468737351756151,210.27588367462158
176,65026,0.0005,0.09601207617901174,0.0032281434620640833,91.49589688050561,0.0018539689480443812,0.0013741745109941144,0.00017495187524113904,0.0,0.0,2.577200981542293e-05,0.06451494579331153,0.07099552225486869,0.05803436853560578,0.10915275258285816,0.07000000029802322,1.0,0.3132127168797246,0.3144936117349935,1.0,1.0,10.096133806189743,52.903868759503034,8.091311028364991,55.25927010024847,0.04688456648590564,0.052950694722111155,0.04940682216720586,0.23715230704593163,0.27879541542757896,0.2549819455030369,0.813490521760046,0.8841556150977109,0.8456711618126225,208.03127670288086
177,67527,0.0005,0.09559451350298037,0.0031998903322659556,91.10236220758279,0.0018360175460283576,0.0013638727875409282,0.00017825070282972936,0.0,0.0,2.5885137436635647e-05,0.0641716800299419,0.0704641807660526,0.05787917844108084,0.10888741727544517,0.07000000029802322,1.0,0.3131280906114136,0.31453454293093175,1.0,1.0,10.235654556288905,52.76434789243482,8.09831285881834,55.22240885902719,0.046937767861605355,0.05302527426529388,0.04946824972994807,0.23766792111280488,0.27978710859406236,0.2556798173064758,0.815437008790234,0.886043043720012,0.8476291046720273,209.80698418617249
178,70028,0.0005,0.0954098977455374,0.003182250965100455,90.9253969661525,0.0018238490598099562,0.001358401908345179,0.00017830443175844178,0.0,0.0,2.5946186724286307e-05,0.06406238125782401,0.07031591533154834,0.057808846414017706,0.10876557315554156,0.07000000029802322,1.0,0.3131687019775506,0.3145244268745911,1.0,1.0,10.226860105967532,52.77314239251809,8.089923083138723,55.23166822290859,0.047065548780487805,0.05321777538984406,0.04961858296253738,0.2384207449832567,0.2803571930602759,0.2564193416105323,0.8165926988579568,0.8866469037385046,0.8485406505875662,202.31132864952087
179,72529,0.0005,0.09562043926534487,0.0032033263216456505,91.12195653659923,0.0018373926456018565,0.0013659336742808074,0.00017813915394722165,0.0,0.0,2.589173270146838e-05,0.06426212692507406,0.07059199012807015,0.05793226299072351,0.10896819198384183,0.07000000029802322,1.0,0.31316320433682415,0.31448581729267466,1.0,1.0,10.167401280225825,52.83260121702052,8.05683709411133,55.22205521325405,0.047052272840863656,0.053105613223460614,0.049563592566443125,0.23770530850159935,0.2799111800592263,0.25575538183667096,0.815132052647691,0.8857485326182027,0.8472990788778559,184.50453400611877
180,75030,0.0005,0.09558584830943034,0.0031943949751836323,91.08488732650251,0.0018332953339090525,0.0013610996433401255,0.00017577648740528575,0.0,0.0,2.5979121890632756e-05,0.06429752480925345,0.07069389677879477,0.057901151987706505,0.10891515543250169,0.07000000029802322,1.0,0.3131062616435874,0.3144884101751565,1.0,1.0,10.226356499960593,52.773646083558766,8.083038925600261,55.2170476444432,0.047240185956867256,0.05325565086465414,0.049752585452291276,0.23834694637769893,0.27971828846586366,0.25611326120338024,0.8155315022428529,0.8858058339164334,0.8475228943428198,174.04314970970154
181,77531,0.0005,0.09531467959958045,0.0031760692590174907,90.8276598265723,0.001821784011460878,0.0013542852507451172,0.00017627626228578842,0.0,0.0,2.5944228878024634e-05,0.06409836742060274,0.07036449110618785,0.057832242845773985,0.10880527544955834,0.07000000029802322,1.0,0.3131756608704718,0.3144890329257244,1.0,1.0,10.222102675233922,52.777899814195415,8.087359099805665,55.20864111935792,0.04732062253223711,0.053391338776989206,0.049836963074045726,0.23943449963764493,0.2814421106557377,0.25739684645406774,0.8171328148428129,0.8872541803591063,0.8490948128085383,180.4958028793335
