epoch,global_step,lr,loss_total,loss_cd,loss_apml,loss_p2g,loss_g2p,loss_center,loss_bbox,loss_hd,loss_repulsion,precision_0_01,recall_0_01,fscore_0_01,precision_0_02,recall_0_02,fscore_0_02,precision_0_05,recall_0_05,fscore_0_05,epoch_time_sec
1,2501,0.0005,0.026512627477390093,0.026511010561571843,0.0,0.016770053505305436,0.009740957073395888,0.0019037169397196645,0.0,0.0,0.0003233780061193483,0.009183631235005998,0.0069031957529488205,0.007580032646719341,0.055722242353058775,0.03781143792483007,0.04170343251270028,0.3290149760408337,0.27949552600834665,0.276031373792667,161.35639667510986
2,5002,0.0005,0.0174181250725366,0.01741677075980089,0.0,0.010972092821138401,0.0064446779290737,0.0023203075140468318,0.0,0.0,0.0002708581815837062,0.012887618390143943,0.010097230638994403,0.010975792333519072,0.07488127795756698,0.05399451547505998,0.05934548617235613,0.4114467494252299,0.3687786604108357,0.3700287617588105,173.0047149658203
3,7503,0.0005,0.01490505188513623,0.01490415355450556,0.0,0.009321146926031585,0.005583006634106223,0.0023046831012542798,0.0,0.0,0.00017966645590444813,0.014196665083966413,0.012743730632746902,0.013215429504585938,0.08218001861755297,0.06844840188924431,0.07226674865055435,0.4446091680515294,0.4259091285360856,0.4210483174814267,169.59732723236084
4,10004,0.0005,0.013653383268451528,0.013652584607862249,0.0,0.00840193250097196,0.005250652102677741,0.002441621026778897,0.0,0.0,0.00015973205865891065,0.015518792483006798,0.014056779631897241,0.014490595960640302,0.08816405078593563,0.07450057086540383,0.07833442024941348,0.46389315367602957,0.44697550667233105,0.44208686387256496,183.29858565330505
5,12505,0.0005,0.012749395951939994,0.012748639917325843,0.0,0.007779389939608662,0.004969249963939118,0.0027770229915106874,0.0,0.0,0.00015120541360431504,0.016131438049780088,0.014430458285435826,0.014934611616007126,0.09164010177179129,0.07841375168682527,0.08197862570459281,0.48146171219012396,0.4668085890643742,0.46185837716448075,169.20417070388794
6,15006,0.0005,0.01186495050765583,0.011864262448883698,0.0,0.007191466046499088,0.004672796405549841,0.002936156668282002,0.0,0.0,0.0001376090766731469,0.017640404775589764,0.015597764800329868,0.016235537411368937,0.0989732036872751,0.08439993143367652,0.08870416963755971,0.5050599877236606,0.48995811831517394,0.4868317835408299,176.15045070648193
7,17507,0.0005,0.011430258555646862,0.011429598540166726,0.0,0.006843524598577967,0.00458607393886573,0.0030132611307189107,0.0,0.0,0.00013200391044867492,0.018312694453468614,0.016373431096311477,0.016961976106287722,0.10163678669157337,0.08783029756847262,0.09188518226772296,0.5118845040108957,0.49998584550554775,0.49544570637626295,184.42861533164978
8,20008,0.0005,0.010951786573867544,0.010951181458847754,0.0,0.006560011091027654,0.00439117035697453,0.0026824890151243342,0.0,0.0,0.00012102396966733473,0.01840992118777489,0.016862590901139545,0.017335888220560324,0.10340082716913235,0.09175040921131547,0.09511532210653684,0.5232019496888745,0.5161415902389045,0.510002623556829,168.27743887901306
9,22509,0.0005,0.010733380930724278,0.010732787279564827,0.0,0.006409601552174708,0.004323185720920015,0.002747339510471934,0.0,0.0,0.00011872969502501571,0.018672218612554976,0.017035178116253498,0.017542488143046864,0.10470479776839264,0.09338081173780488,0.09663668762958023,0.5297956989079369,0.5235671356457418,0.5168938015337016,182.2993643283844
10,25010,0.0005,0.010138893989138215,0.01013832411547078,0.0,0.005967978014946222,0.00417034609998926,0.002598013427118627,0.0,0.0,0.0001139742390728761,0.019880524352758895,0.018151137982307077,0.018668215123523936,0.11007511058076769,0.09852719068622551,0.10193029976003423,0.5454765359481207,0.5367357939636646,0.5323509256102619,181.86044716835022
11,27511,0.0005,0.009906448515514504,0.009905894740954971,0.0,0.005809906636504773,0.004095988100284196,0.002601305458404054,0.0,0.0,0.00011075444273824594,0.020216815617503,0.01868315173930428,0.01909944576686803,0.11232665137070172,0.10153975519167333,0.10451520277803145,0.5527001113617053,0.5465912267905337,0.5410956978583422,178.9136884212494
12,30012,0.0005,0.00963635442498066,0.009635806074555888,0.0,0.0056287076614029265,0.004007098411244513,0.002667366185379665,0.0,0.0,0.0001096709811692471,0.020711734837315074,0.019299897228608556,0.019698856903177898,0.11528484309401239,0.10506695759196322,0.10791584889835319,0.5624032613517094,0.5536705239779088,0.5497026463828293,177.19900393486023
