epoch,global_step,lr,loss_total,loss_cd,loss_apml,loss_p2g,loss_g2p,loss_center,loss_bbox,loss_hd,loss_repulsion,precision_0_01,recall_0_01,fscore_0_01,precision_0_02,recall_0_02,fscore_0_02,precision_0_05,recall_0_05,fscore_0_05,epoch_time_sec
1,2501,0.0005,0.2692252024114489,0.03249593531345723,269.2251493018515,0.025221155142643954,0.007274780181100274,9.95788701850327e-05,0.0,0.0,7.920565462991319e-06,0.007268967413034786,0.008084461527888845,0.00760143241974101,0.04515693722510995,0.05982655765818672,0.050432431232994096,0.272474896760046,0.4718629149902539,0.3351790661112171,181.68829798698425
2,5002,0.0005,0.20802592285951582,0.018807560930297416,208.0258591814739,0.013639635157312265,0.005167925744567897,6.874915383494544e-05,0.0,0.0,1.0745701808141652e-05,0.010867723223210717,0.012343402482756897,0.011456157236786575,0.06512922174880048,0.08626764138094763,0.07268985369881732,0.37020699532686924,0.5543784439349261,0.43505957369647563,197.60204577445984
3,7503,0.0005,0.19286380826485533,0.01645050665148806,192.86373477647516,0.01159474003522127,0.004855766595460055,7.777536047044424e-05,0.0,0.0,1.2822680710345491e-05,0.012770282511995202,0.01450289025014994,0.01346163755212566,0.07509857385170932,0.0977463506784786,0.08332188910313519,0.41333183523465616,0.5822208226084566,0.4745104493933027,197.49160885810852
4,10004,0.0005,0.18416557709177414,0.015071907883747572,184.1654979975783,0.010475603857313002,0.004596304035138954,7.78516433861043e-05,0.0,0.0,1.4107049875793727e-05,0.01433157205867653,0.01632686769042383,0.015130988101074445,0.08318235205917633,0.10759865975484806,0.09205634973668417,0.44123005094837064,0.5992110968112755,0.49882806569742993,211.57507467269897
5,12505,0.0005,0.1783960284572132,0.013966624303989005,178.395945585999,0.009579586886275956,0.004387037424066784,7.493148362072043e-05,0.0,0.0,1.4891119177560058e-05,0.015237850172431027,0.017394799892542983,0.016097673916536086,0.0877641131047581,0.11278330464689125,0.09697636287780058,0.4601222987367553,0.6106926370076969,0.5156099772939488,198.8391661643982
6,15006,0.0005,0.17221009311843805,0.012879105356586327,172.2100075893715,0.008700437810541395,0.00417866755298051,7.040512084221665e-05,0.0,0.0,1.5443390173798118e-05,0.01592683239204318,0.018079096486405436,0.016801648517497672,0.09225938530837664,0.1176429818697521,0.1016088118404299,0.48058364544807075,0.6264506892555478,0.534779590184762,218.0398714542389
7,17507,0.0005,0.16791759845895654,0.012238954183649642,167.91750869232385,0.008185091666805214,0.004053862508023675,7.432914488960204e-05,0.0,0.0,1.638777656248427e-05,0.016966650839664133,0.019386776539384247,0.017924629770530637,0.0969987981369952,0.12315786575994603,0.10672815745157964,0.49589851559376247,0.6361982550729708,0.5483461422402589,194.40974044799805
8,20008,0.0005,0.16575221194238102,0.0119533147785298,165.75212214766194,0.007939025430699161,0.0040142893545218414,7.661114848503474e-05,0.0,0.0,1.640899663440008e-05,0.017200053572321072,0.01958064430477809,0.018142457469040658,0.09866287859856057,0.12503162797381048,0.10838182516521165,0.5033864383933926,0.6412744472523491,0.554670390642819,211.58009886741638
9,22509,0.0005,0.1631220061777354,0.011642049594850438,163.12191423479436,0.007766509785407,0.003875539810839863,7.748938146116572e-05,0.0,0.0,1.6887972268931028e-05,0.01795297505997601,0.020438406668582567,0.01895360103346592,0.10224123241328469,0.12871082035935627,0.1121240529767582,0.5135602985368353,0.6481061872126149,0.5639457182674968,210.4098997116089
10,25010,0.0005,0.16061080614032625,0.011331520329022118,160.6107120628311,0.0074953473144362065,0.0038361730148768337,8.164092049855189e-05,0.0,0.0,1.7253090362112486e-05,0.01844047537235106,0.02093742581092563,0.019446389560523653,0.10522656171906238,0.13194614732232107,0.11524028867566552,0.5241295083529088,0.6548277173505598,0.5732133711566452,205.9400990009308
11,27511,0.0005,0.15878460238107153,0.011053603415687258,158.7845073579455,0.007302491923445789,0.0037511114829552415,7.957378704504764e-05,0.0,0.0,1.7515801609428532e-05,0.018703651351959217,0.021236817772890843,0.019715436504873,0.10689034932901839,0.13362799411485407,0.11698398439668682,0.530042475197421,0.6580771988079768,0.5781882452111585,203.76981949806213
12,30012,0.0005,0.15662299837769628,0.010873291578541538,156.6229027081184,0.007117719547759767,0.0037555720408127585,8.179400688999233e-05,0.0,0.0,1.7679577094499268e-05,0.01914702868852459,0.021775859968512595,0.020183108587021673,0.10992399915033986,0.1375059351259496,0.1201928631752217,0.5397936528513595,0.6656283775552279,0.5872383014243491,191.25714588165283
13,32513,0.0005,0.155620490626448,0.010692654608576442,155.62039403446386,0.006983251056293348,0.003709403549827712,8.064693193981392e-05,0.0,0.0,1.7841659741736344e-05,0.019500891049830067,0.02210170619252299,0.020551701705976918,0.1107992349935026,0.13823542848485607,0.12115037523214517,0.5413617756022591,0.6662132022191124,0.5888293575330145,201.7369465827942
14,35014,0.0005,0.15412071653035153,0.010531401474083565,154.12061788291274,0.0069104537151328275,0.0036209477505256393,8.778915865537446e-05,0.0,0.0,1.8266817774821582e-05,0.019841575088714515,0.02255962849235306,0.020939527084466864,0.11233504645016994,0.1395104067747901,0.1226844986649703,0.5479776839264294,0.6715759985068472,0.5948319338002904,203.83484745025635
15,37515,0.0005,0.152023881757226,0.010230609005913273,152.02378233277003,0.0066951724455976,0.0035354365620961148,8.673915410258114e-05,0.0,0.0,1.8455627895320937e-05,0.02032087555602759,0.023093789827818872,0.021423898826440576,0.11510054181452418,0.1429378443934926,0.1256215846220382,0.5548113762307577,0.6771685856907237,0.6014612857661977,199.55371046066284
